Date,Actual,Predicted,Next_Actual,Predicted_Change,Actual_Change,Position,Market_Return,Strategy_Return,Position_Change,Cumulative_Market_Return,Cumulative_Strategy_Return,Market_Portfolio,Strategy_Portfolio
2023-06-15,0.9265325080525457,0.8932946,0.9206794766938955,-0.004284382,-0.005853031358650229,-1,-0.006317135456965845,0.006317135456965845,0.0,0.9936828645430341,1.0063171354569658,9936.828645430342,10063.171354569658
2023-06-16,0.9206794766938955,0.8890102,0.9231566653540257,0.007146597,0.0024771886601302473,1,0.0026906091890151417,0.0016906091890151417,2.0,0.9963564767893405,1.0080184244532329,9963.564767893406,10080.18424453233
2023-06-20,0.9231566653540257,0.8961568,0.9289423818034337,0.0042678714,0.005785716449407952,1,0.006267318069126609,0.006267318069126609,0.0,1.0026009597396137,1.0143359965388212,10026.009597396138,10143.359965388212
2023-06-21,0.9289423818034337,0.90042466,0.9373264537496087,0.0035961866,0.008384071946174965,1,0.009025395019547137,0.009025395019547137,0.0,1.0116498294482408,1.02349077959013,10116.498294482408,10234.9077959013
2023-06-22,0.9373264537496087,0.90402085,0.9467168835889617,0.0031723976,0.00939042983935301,1,0.010018313045351761,0.010018313045351761,0.0,1.0217848541319299,1.033744430619095,10217.8485413193,10337.44430619095
2023-06-23,0.9467168835889617,0.90719324,0.97190612262757,0.004683912,0.02518923903860837,1,0.026606939704209225,0.026606939704209225,0.0,1.0489714221364923,1.0612492063541394,10489.714221364922,10612.492063541395
2023-06-26,0.97190612262757,0.91187716,0.9696140499678569,0.002970636,-0.002292072659713096,1,-0.002358327215303908,-0.002358327215303908,0.0,1.0464976042835918,1.0587464334685748,10464.976042835919,10587.464334685748
2023-06-27,0.9696140499678569,0.9148478,0.9734341710673788,0.004223287,0.0038201210995219004,1,0.00393983678314948,0.00393983678314948,0.0,1.0506206340384263,1.0629177216111827,10506.206340384264,10629.177216111828
2023-06-28,0.9734341710673788,0.9190711,0.9795396333356894,0.0058773756,0.006105462268310546,1,0.006272085416537058,0.006272085416537058,0.0,1.0572102163954915,1.0695844323518788,10572.102163954914,10695.844323518788
2023-06-29,0.9795396333356894,0.92494845,0.9866110645516319,0.006220579,0.0070714312159425585,1,0.007219137414442087,0.007219137414442087,0.0,1.0648423622236027,1.0773059093453752,10648.423622236027,10773.059093453752
2023-06-30,0.9866110645516319,0.93116903,0.9729999899027635,-0.006601572,-0.01361107464886846,-1,-0.013795785530799869,0.01279578553079987,-2.0,1.0501520253702556,1.0910908847124219,10501.520253702556,10910.90884712422
2023-07-03,0.9729999899027635,0.92456746,0.9829726937070657,0.0066524744,0.009972703804302263,1,0.010249438754155469,0.00924943875415547,2.0,1.0609154942368404,1.1011828630257867,10609.154942368405,11011.828630257867
2023-07-05,0.9829726937070657,0.93121994,0.9846353719653596,0.0034850836,0.0016626782582938038,1,0.001691479599523134,0.001691479599523134,0.0,1.06271001115216,1.1030454913739394,10627.100111521599,11030.454913739393
2023-07-06,0.9846353719653596,0.934705,0.9895459945946126,0.004925728,0.004910622629253014,1,0.00498724986839674,0.00498724986839674,0.0,1.0680100115154223,1.1085466548556295,10680.100115154222,11085.466548556295
2023-07-07,0.9895459945946126,0.93963075,0.9939180979499243,0.0038803816,0.004372103355311685,1,0.0044182922059149005,0.0044182922059149005,0.0,1.0727287918251398,1.1134445379006712,10727.287918251399,11134.445379006713
2023-07-10,0.9939180979499243,0.9435111,0.9927198925654048,0.0026655197,-0.001198205384519424,1,-0.0012055373445667877,-0.0012055373445667877,0.0,1.0714355772060027,1.1121022389291282,10714.355772060027,11121.022389291282
2023-07-11,0.9927198925654048,0.94617665,0.9800377636640849,0.00043302774,-0.012682128901319922,1,-0.012775133243826245,-0.012775133243826245,0.0,1.0577478449450202,1.097894984646051,10577.478449450202,10978.949846460511
2023-07-12,0.9800377636640849,0.9466097,0.9732625180488099,-0.0034045577,-0.006775245615274983,-1,-0.006913249536369139,0.005913249536369139,-2.0,1.0504353701463585,1.1043871116549915,10504.353701463584,11043.871116549915
2023-07-13,0.9732625180488099,0.9432051,0.9639562318460104,-0.009595275,-0.009306286202799496,-1,-0.00956194863175937,0.00956194863175937,0.0,1.040391161096036,1.1149472044862134,10403.911610960358,11149.472044862134
2023-07-14,0.9639562318460104,0.93360984,0.9616506962044487,-0.02310741,-0.0023055356415617734,-1,-0.002391743074420081,0.002391743074420081,0.0,1.0379028127417966,1.1176138717408872,10379.028127417967,11176.138717408872
